time,position,velocity,acceleration
0,2,0,-9.8
0.01,1.99902,-0.098,-9.8
0.02,1.99706,-0.196,-9.79981
0.03,1.99412,-0.293998,-9.79924
0.04,1.9902,-0.391991,-9.79829
0.05,1.9853,-0.489973,-9.79696
0.06,1.97942,-0.587943,-9.79525
0.07,1.97256,-0.685896,-9.79316
0.08,1.96472,-0.783827,-9.79069
0.09,1.95591,-0.881734,-9.78783
0.1,1.94611,-0.979612,-9.7846
0.11,1.93534,-1.07746,-9.78098
0.12,1.92358,-1.17527,-9.77698
0.13,1.91085,-1.27304,-9.7726
0.14,1.89714,-1.37076,-9.76783
0.15,1.88246,-1.46844,-9.76269
0.16,1.8668,-1.56607,-9.75716
0.17,1.85016,-1.66364,-9.75125
0.18,1.83255,-1.76115,-9.74496
0.19,1.81397,-1.8586,-9.73829
0.2,1.79441,-1.95599,-9.73124
0.21,1.77387,-2.0533,-9.72381
0.22,1.75237,-2.15054,-9.716
0.23,1.72989,-2.2477,-9.70782
0.24,1.70644,-2.34477,-9.69925
0.25,1.68203,-2.44177,-9.69031
0.26,1.65664,-2.53867,-9.68099
0.27,1.63028,-2.63548,-9.67129
0.28,1.60296,-2.73219,-9.66122
0.29,1.57467,-2.82881,-9.65078
0.3,1.54542,-2.92531,-9.63997
0.31,1.5152,-3.02171,-9.62878
0.32,1.48402,-3.118,-9.61722
0.33,1.45188,-3.21417,-9.6053
0.34,1.41878,-3.31023,-9.593
0.35,1.38472,-3.40616,-9.58034
0.36,1.3497,-3.50196,-9.56731
0.37,1.31372,-3.59763,-9.55392
0.38,1.27679,-3.69317,-9.54017
0.39,1.2389,-3.78857,-9.52606
0.4,1.20007,-3.88383,-9.51158
0.41,1.16028,-3.97895,-9.49675
0.42,1.11954,-4.07392,-9.48156
0.43,1.07785,-4.16873,-9.46602
0.44,1.03522,-4.26339,-9.45013
0.45,0.991637,-4.35789,-9.43388
0.46,0.947115,-4.45223,-9.41729
0.47,0.901651,-4.54641,-9.40035
0.48,0.855247,-4.64041,-9.38307
0.49,0.807905,-4.73424,-9.36544
0.5,0.759626,-4.82789,-9.34747
0.51,0.710412,-4.92137,-9.32916
0.52,0.660265,-5.01466,-9.31052
0.53,0.609188,-5.10777,-9.29154
0.54,0.557181,-5.20068,-9.27223
0.55,0.504247,-5.2934,-9.25259
0.56,0.450388,-5.38593,-9.23263
0.57,0.395605,-5.47826,-9.21234
0.58,0.339901,-5.57038,-9.19172
0.59,0.283278,-5.6623,-9.17079
0.6,0.225738,-5.754,-9.14954
0.61,0.167283,-5.8455,-9.12798
0.62,0.107915,-5.93678,-9.1061
0.63,0.0476369,-6.02784,-9.08392
0.64,-0.0135499,-6.11868,-9.06143
0.65,0,-6.20929,62.0929
0.66,0,-5.58836,62.0929
0.67,0,-4.96744,62.0929
0.68,0,-4.34651,62.0929
0.69,0,-3.72558,62.0929
0.7,0,-3.10465,62.0929
0.71,0,-2.48372,62.0929
0.72,0,-1.86279,62.0929
0.73,0,-1.24186,62.0929
0.74,0,-0.620929,62.0929
0.75,0,0,-9.8
0.76,0,0,-9.8
0.77,0,0,-9.8
0.78,0,0,-9.8
0.79,0,0,-9.8
0.8,0,0,-9.8
0.81,0,0,-9.8
0.82,0,0,-9.8
0.83,0,0,-9.8
0.84,0,0,-9.8
0.85,0,0,-9.8
0.86,0,0,-9.8
0.87,0,0,-9.8
0.88,0,0,-9.8
0.89,0,0,-9.8
0.9,0,0,-9.8
0.91,0,0,-9.8
0.92,0,0,-9.8
0.93,0,0,-9.8
0.94,0,0,-9.8
0.95,0,0,-9.8
0.96,0,0,-9.8
0.97,0,0,-9.8
0.98,0,0,-9.8
0.99,0,0,-9.8
1,0,0,-9.8
1.01,0,0,-9.8
1.02,0,0,-9.8
1.03,0,0,-9.8
1.04,0,0,-9.8
1.05,0,0,-9.8
1.06,0,0,-9.8
1.07,0,0,-9.8
1.08,0,0,-9.8
1.09,0,0,-9.8
1.1,0,0,-9.8
1.11,0,0,-9.8
1.12,0,0,-9.8
1.13,0,0,-9.8
1.14,0,0,-9.8
1.15,0,0,-9.8
1.16,0,0,-9.8
1.17,0,0,-9.8
1.18,0,0,-9.8
1.19,0,0,-9.8
1.2,0,0,-9.8
1.21,0,0,-9.8
1.22,0,0,-9.8
1.23,0,0,-9.8
1.24,0,0,-9.8
1.25,0,0,-9.8
1.26,0,0,-9.8
1.27,0,0,-9.8
1.28,0,0,-9.8
1.29,0,0,-9.8
1.3,0,0,-9.8
1.31,0,0,-9.8
1.32,0,0,-9.8
1.33,0,0,-9.8
1.34,0,0,-9.8
1.35,0,0,-9.8
1.36,0,0,-9.8
1.37,0,0,-9.8
1.38,0,0,-9.8
1.39,0,0,-9.8
1.4,0,0,-9.8
1.41,0,0,-9.8
1.42,0,0,-9.8
1.43,0,0,-9.8
1.44,0,0,-9.8
1.45,0,0,-9.8
1.46,0,0,-9.8
1.47,0,0,-9.8
1.48,0,0,-9.8
1.49,0,0,-9.8
1.5,0,0,-9.8
1.51,0,0,-9.8
1.52,0,0,-9.8
1.53,0,0,-9.8
1.54,0,0,-9.8
1.55,0,0,-9.8
1.56,0,0,-9.8
1.57,0,0,-9.8
1.58,0,0,-9.8
1.59,0,0,-9.8
1.6,0,0,-9.8
1.61,0,0,-9.8
1.62,0,0,-9.8
1.63,0,0,-9.8
1.64,0,0,-9.8
1.65,0,0,-9.8
1.66,0,0,-9.8
1.67,0,0,-9.8
1.68,0,0,-9.8
1.69,0,0,-9.8
1.7,0,0,-9.8
1.71,0,0,-9.8
1.72,0,0,-9.8
1.73,0,0,-9.8
1.74,0,0,-9.8
1.75,0,0,-9.8
1.76,0,0,-9.8
1.77,0,0,-9.8
1.78,0,0,-9.8
1.79,0,0,-9.8
1.8,0,0,-9.8
1.81,0,0,-9.8
1.82,0,0,-9.8
1.83,0,0,-9.8
1.84,0,0,-9.8
1.85,0,0,-9.8
1.86,0,0,-9.8
1.87,0,0,-9.8
1.88,0,0,-9.8
1.89,0,0,-9.8
1.9,0,0,-9.8
1.91,0,0,-9.8
1.92,0,0,-9.8
1.93,0,0,-9.8
1.94,0,0,-9.8
1.95,0,0,-9.8
1.96,0,0,-9.8
1.97,0,0,-9.8
1.98,0,0,-9.8
1.99,0,0,-9.8
2,0,0,-9.8
2.01,0,0,-9.8
2.02,0,0,-9.8
2.03,0,0,-9.8
2.04,0,0,-9.8
2.05,0,0,-9.8
2.06,0,0,-9.8
2.07,0,0,-9.8
2.08,0,0,-9.8
2.09,0,0,-9.8
2.1,0,0,-9.8
2.11,0,0,-9.8
2.12,0,0,-9.8
2.13,0,0,-9.8
2.14,0,0,-9.8
2.15,0,0,-9.8
2.16,0,0,-9.8
2.17,0,0,-9.8
2.18,0,0,-9.8
2.19,0,0,-9.8
2.2,0,0,-9.8
2.21,0,0,-9.8
2.22,0,0,-9.8
2.23,0,0,-9.8
2.24,0,0,-9.8
2.25,0,0,-9.8
2.26,0,0,-9.8
2.27,0,0,-9.8
2.28,0,0,-9.8
2.29,0,0,-9.8
2.3,0,0,-9.8
2.31,0,0,-9.8
2.32,0,0,-9.8
2.33,0,0,-9.8
2.34,0,0,-9.8
2.35,0,0,-9.8
2.36,0,0,-9.8
2.37,0,0,-9.8
2.38,0,0,-9.8
2.39,0,0,-9.8
2.4,0,0,-9.8
2.41,0,0,-9.8
2.42,0,0,-9.8
2.43,0,0,-9.8
2.44,0,0,-9.8
2.45,0,0,-9.8
2.46,0,0,-9.8
2.47,0,0,-9.8
2.48,0,0,-9.8
2.49,0,0,-9.8
2.5,0,0,-9.8
2.51,0,0,-9.8
2.52,0,0,-9.8
2.53,0,0,-9.8
2.54,0,0,-9.8
2.55,0,0,-9.8
2.56,0,0,-9.8
2.57,0,0,-9.8
2.58,0,0,-9.8
2.59,0,0,-9.8
2.6,0,0,-9.8
2.61,0,0,-9.8
2.62,0,0,-9.8
2.63,0,0,-9.8
2.64,0,0,-9.8
2.65,0,0,-9.8
2.66,0,0,-9.8
2.67,0,0,-9.8
2.68,0,0,-9.8
2.69,0,0,-9.8
2.7,0,0,-9.8
2.71,0,0,-9.8
2.72,0,0,-9.8
2.73,0,0,-9.8
2.74,0,0,-9.8
2.75,0,0,-9.8
2.76,0,0,-9.8
2.77,0,0,-9.8
2.78,0,0,-9.8
2.79,0,0,-9.8
2.8,0,0,-9.8
2.81,0,0,-9.8
2.82,0,0,-9.8
2.83,0,0,-9.8
2.84,0,0,-9.8
2.85,0,0,-9.8
2.86,0,0,-9.8
2.87,0,0,-9.8
2.88,0,0,-9.8
2.89,0,0,-9.8
2.9,0,0,-9.8
2.91,0,0,-9.8
2.92,0,0,-9.8
2.93,0,0,-9.8
2.94,0,0,-9.8
2.95,0,0,-9.8
2.96,0,0,-9.8
2.97,0,0,-9.8
2.98,0,0,-9.8
2.99,0,0,-9.8
3,0,0,-9.8
3.01,0,0,-9.8
3.02,0,0,-9.8
3.03,0,0,-9.8
3.04,0,0,-9.8
3.05,0,0,-9.8
3.06,0,0,-9.8
3.07,0,0,-9.8
3.08,0,0,-9.8
3.09,0,0,-9.8
3.1,0,0,-9.8
3.11,0,0,-9.8
3.12,0,0,-9.8
3.13,0,0,-9.8
3.14,0,0,-9.8
3.15,0,0,-9.8
3.16,0,0,-9.8
3.17,0,0,-9.8
3.18,0,0,-9.8
3.19,0,0,-9.8
3.2,0,0,-9.8
3.21,0,0,-9.8
3.22,0,0,-9.8
3.23,0,0,-9.8
3.24,0,0,-9.8
3.25,0,0,-9.8
3.26,0,0,-9.8
3.27,0,0,-9.8
3.28,0,0,-9.8
3.29,0,0,-9.8
