time,position,velocity,acceleration
0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0
0.04,0,0,1.0925
0.05,0.00010925,0.010925,3.82282
0.06,0.000600783,0.0491532,6.55601
0.07,0.00174792,0.114713,9.29205
0.08,0.00382425,0.207634,12.0308
0.09,0.00710367,0.327942,14.772
0.1,0.0118603,0.475661,17.5153
0.11,0.0183684,0.650814,20.2602
0.12,0.0269026,0.853416,23.0062
0.13,0.0377374,1.08348,25.7527
0.14,0.0511474,1.341,28.4988
0.15,0.0674073,1.62599,31.2436
0.16,0.0867916,1.93843,33.9863
0.17,0.109575,2.27829,36.7256
0.18,0.13603,2.64555,39.4605
0.19,0.166432,3.04015,42.1895
0.2,0.201052,3.46205,44.9113
0.21,0.240164,3.91116,47.6244
0.22,0.284038,4.3874,50.3272
0.23,0.332944,4.89068,53.0179
0.24,0.387153,5.42085,55.6947
0.25,0.446931,5.9778,58.3559
0.26,0.512545,6.56136,60.9993
0.27,0.584258,7.17135,63.6229
0.28,0.662334,7.80758,64.5698
0.29,0.746867,8.45328,63.835
0.3,0.837783,9.09163,63.0768
0.31,0.935007,9.7224,62.3014
0.32,1.03846,10.3454,61.5095
0.33,1.14807,10.9605,60.7019
0.34,1.26374,11.5675,59.8794
0.35,1.3854,12.1663,13.0178
0.36,1.50837,12.2965,12.6968
0.37,1.6326,12.4235,12.6342
0.38,1.7581,12.5498,12.5726
0.39,1.88486,12.6755,12.5105
0.4,2.01286,12.8006,12.448
0.41,2.14212,12.9251,12.385
0.42,2.27261,13.049,12.3216
0.43,2.40433,13.1722,12.2578
0.44,2.53727,13.2948,12.1936
0.45,2.67144,13.4167,12.129
0.46,2.80682,13.538,12.0641
0.47,2.94341,13.6586,11.9988
0.48,3.08119,13.7786,11.9331
0.49,3.22017,13.898,11.8671
0.5,3.36034,14.0166,11.8008
0.51,3.50169,14.1346,11.7342
0.52,3.64421,14.252,11.6673
0.53,3.78789,14.3686,11.6001
0.54,3.93274,14.4846,11.5326
0.55,4.07874,14.6,11.4649
0.56,4.22589,14.7146,11.3969
0.57,4.37417,14.8286,11.3287
0.58,4.52359,14.9419,11.2603
0.59,4.67413,15.0545,11.1917
0.6,4.8258,15.1664,11.1228
0.61,4.97857,15.2776,11.0538
0.62,5.13246,15.3882,10.9846
0.63,5.28744,15.498,10.9153
0.64,5.44351,15.6072,10.8458
0.65,5.60066,15.7156,10.7762
