time,position,velocity,acceleration
0,0,0,0
0.01,0,0,0
0.02,0,0,0
0.03,0,0,0.98547
0.04,9.8547e-05,0.0098547,4.58628
0.05,0.000655722,0.0557175,8.18992
0.06,0.00203189,0.137617,11.7964
0.07,0.0045877,0.255581,15.4056
0.08,0.00868406,0.409637,19.0175
0.09,0.0146822,0.599811,22.6318
0.1,0.0229435,0.826129,26.2484
0.11,0.0338296,1.08861,29.8669
0.12,0.0477024,1.38728,33.4871
0.13,0.0649239,1.72215,37.1086
0.14,0.0858563,2.09324,40.7309
0.15,0.110862,2.50055,44.3535
0.16,0.140303,2.94408,47.976
0.17,0.174541,3.42384,51.5976
0.18,0.213939,3.93982,55.2179
0.19,0.258859,4.492,58.836
0.2,0.309663,5.08036,62.4512
0.21,0.366711,5.70487,66.0627
0.22,0.430366,6.3655,69.6696
0.23,0.500988,7.06219,73.2711
0.24,0.578937,7.7949,76.8661
0.25,0.664573,8.56356,76.8271
0.26,0.757891,9.33183,74.687
0.27,0.858678,10.0787,72.5373
0.28,0.966719,10.8041,70.3809
0.29,1.0818,11.5079,68.2183
0.3,1.2037,12.1901,66.0503
0.31,1.3322,12.8506,63.8774
0.32,1.4671,13.4893,61.7003
0.33,1.60816,14.1063,59.5195
0.34,1.75518,14.7015,57.3356
0.35,1.90793,15.2749,55.1492
0.36,2.06619,15.8264,52.9607
0.37,2.22975,16.356,50.7708
0.38,2.39839,16.8637,48.5798
0.39,2.57188,17.3495,46.3883
0.4,2.75002,17.8134,44.1967
0.41,2.93257,18.2554,42.0054
0.42,3.11932,18.6754,39.815
0.43,3.31006,19.0736,37.6256
0.44,3.50456,19.4498,35.4378
0.45,3.7026,19.8042,33.2519
0.46,3.90397,20.1367,31.0682
0.47,4.10844,20.4474,28.887
0.48,4.3158,20.7363,26.7087
0.49,4.52584,21.0033,24.5335
0.5,4.73832,21.2487,16.501
0.51,4.95246,21.4137,16.441
0.52,5.16824,21.5781,16.4036
0.53,5.38566,21.7421,16.366
0.54,5.60472,21.9058,16.328
0.55,5.82541,22.0691,16.2898
0.56,6.04773,22.232,16.2513
0.57,6.27168,22.3945,16.2125
0.58,6.49724,22.5566,16.1735
0.59,6.72443,22.7184,16.1342
0.6,6.95322,22.8797,16.0946
0.61,7.18363,23.0406,16.0547
0.62,7.41564,23.2012,16.0146
0.63,7.64925,23.3613,15.9742
0.64,7.88446,23.5211,15.9335
